FECHA,IPC
06/07/2018,0.947170949
09/07/2018,0.952090342
10/07/2018,0.94735488
11/07/2018,0.948016731
12/07/2018,0.941657687
13/07/2018,0.936044264
16/07/2018,0.93697631
17/07/2018,0.941818731
18/07/2018,0.947583982
19/07/2018,0.942653334
20/07/2018,0.945755998
23/07/2018,0.944647801
24/07/2018,0.956479166
25/07/2018,0.959203392
26/07/2018,0.956004796
27/07/2018,0.959982551
30/07/2018,0.961168701
31/07/2018,0.961028128
01/08/2018,0.956221435
02/08/2018,0.948614074
03/08/2018,0.953381337
06/08/2018,0.95372246
07/08/2018,0.966169145
08/08/2018,0.964828825
09/08/2018,0.952256447
10/08/2018,0.935610685
13/08/2018,0.943025201
14/08/2018,0.949389306
15/08/2018,0.938958011
16/08/2018,0.929335108
17/08/2018,0.933310295
20/08/2018,0.943382187
21/08/2018,0.954183459
22/08/2018,0.964553872
23/08/2018,0.962024908
24/08/2018,0.959785854
27/08/2018,0.974917335
28/08/2018,0.967331502
29/08/2018,0.970493159
30/08/2018,0.96016044
31/08/2018,0.958121104
03/09/2018,0.956976348
04/09/2018,0.945290617
05/09/2018,0.939705974
06/09/2018,0.941958398
07/09/2018,0.946972363
10/09/2018,0.944605425
11/09/2018,0.94551549
12/09/2018,0.952461075
13/09/2018,0.960935293
14/09/2018,0.959363529
17/09/2018,0.955237723
18/09/2018,0.960328433
19/09/2018,0.958954725
20/09/2018,0.957407586
21/09/2018,0.954188067
24/09/2018,0.955598334
25/09/2018,0.960129696
26/09/2018,0.959250224
27/09/2018,0.960039959
28/09/2018,0.957279551
01/10/2018,0.963802207
02/10/2018,0.954810941
03/10/2018,0.947633912
04/10/2018,0.941405546
05/10/2018,0.929215081
08/10/2018,0.929993409
09/10/2018,0.937962666
10/10/2018,0.930826426
11/10/2018,0.919650417
12/10/2018,0.917442484
15/10/2018,0.923147759
16/10/2018,0.931897535
17/10/2018,0.926026306
18/10/2018,0.909328726
19/10/2018,0.917314827
22/10/2018,0.908135173
23/10/2018,0.898201437
24/10/2018,0.888726284
25/10/2018,0.894849881
26/10/2018,0.885715246
29/10/2018,0.848506321
30/10/2018,0.841912132
31/10/2018,0.849732733
01/11/2018,0.878821479
05/11/2018,0.905323929
06/11/2018,0.895867811
07/11/2018,0.90725842
08/11/2018,0.854522581
09/11/2018,0.85594365
12/11/2018,0.8375011
13/11/2018,0.820316309
14/11/2018,0.818820232
15/11/2018,0.801545931
16/11/2018,0.818342766
20/11/2018,0.80825063
21/11/2018,0.8024989
22/11/2018,0.798074347
23/11/2018,0.795622506
26/11/2018,0.76241936
27/11/2018,0.769767555
28/11/2018,0.792628162
29/11/2018,0.810495274
30/11/2018,0.807001633
03/12/2018,0.813750371
04/12/2018,0.809559754
05/12/2018,0.810143727
06/12/2018,0.811917552
07/12/2018,0.809657574
10/12/2018,0.799716436
11/12/2018,0.790856301
13/12/2018,0.802742203
14/12/2018,0.79886816
17/12/2018,0.780078822
18/12/2018,0.79123761
19/12/2018,0.800339914
20/12/2018,0.806044208
21/12/2018,0.801892266
24/12/2018,0.800181892
26/12/2018,0.80392367
27/12/2018,0.800911726
28/12/2018,0.801710298
31/12/2018,0.805212701
02/01/2019,0.81741208
03/01/2019,0.813025975
04/01/2019,0.820969927
07/01/2019,0.828300144
08/01/2019,0.842003984
09/01/2019,0.844038259
10/01/2019,0.844442002
11/01/2019,0.842259978
14/01/2019,0.839202183
15/01/2019,0.843178729
16/01/2019,0.84735386
17/01/2019,0.849530219
18/01/2019,0.855514375
21/01/2019,0.851403677
22/01/2019,0.846358893
